Year,Month,Day,Hour,Minute,24H,24H_P,48H,48H_P
2019,4,1,13,30,0,5.1476704534681926e-27,0,2.0443803645968116e-23
2019,4,1,20,30,0,7.925707165461751e-31,0,1.1450471247117988e-26
2019,4,3,7,0,0,1.1240006182435787e-22,0,1.8391359189141165e-14
2019,4,3,8,30,0,2.9816299590889034e-19,0,7.683609274600358e-14
2019,4,3,10,0,0,1.0642896777197314e-17,0,3.9670596663627554e-14
2019,4,3,19,30,0,3.7693319410115586e-18,0,3.943950404019591e-27
2019,4,4,4,30,0,1.61788363859601e-15,0,9.152142506982965e-30
2019,4,5,0,0,0,2.9777328470187685e-26,0,1.0194166059878501e-26
2019,4,5,4,30,0,9.218045005934694e-30,0,2.771405863233355e-25
2019,4,6,21,0,0,6.335819732730787e-32,0,1.3894396757855274e-28
2019,4,7,3,0,0,1.0726397503278524e-28,0,3.509273046800961e-26
2019,4,7,7,30,0,7.847200828372783e-28,0,6.0014832979434575e-27
2019,4,8,8,0,0,9.803104224638502e-26,0,6.174445530251451e-21
2019,4,8,23,0,0,2.3099287184727085e-14,0,2.3329419255013946e-20
2019,4,9,2,0,0,3.869059316235609e-17,0,1.6044647329590374e-21
2019,4,10,13,0,0,6.720754621452013e-18,0,3.263223102998086e-25
2019,4,11,15,30,0,7.719741388345736e-26,0,1.5020530014838636e-26
2019,4,12,3,0,0,1.7850235936521292e-23,0,1.4793873426773255e-24
2019,4,13,19,0,0,6.400782531078788e-25,0,1.5544638617011044e-20
2019,4,15,0,30,0,1.0895071626955317e-20,0,5.660695200147967e-25
2019,4,16,5,0,0,8.24937104741221e-25,0,1.4108693768737005e-12
2019,4,16,6,30,0,9.313394021367344e-24,0,4.0124467080380765e-11
2019,4,16,11,0,0,1.3569838638561813e-21,0,1.401029121107732e-13
2019,4,17,0,0,0,3.1244230629460316e-18,0,1.0234890201700083e-14
2019,4,17,7,0,0,2.1148133517510765e-13,0,1.0926662686852922e-15
2019,4,18,11,30,0,3.556781426299462e-15,0,1.0997314688636863e-12
2019,4,18,14,0,0,1.3824671099642042e-13,0,6.242851943779743e-13
2019,4,18,22,0,0,1.4452434551752688e-17,0,1.0820648064266758e-12
2019,4,19,1,30,0,4.14109135133612e-14,0,1.6466256444295089e-10
2019,4,20,10,30,0,2.691838889431631e-09,0,9.489473506441148e-15
2019,4,20,11,30,0,7.233357063646873e-10,0,1.4628019575852701e-12
2019,4,21,2,30,0,8.475769420318695e-13,0,5.894023248540273e-14
2019,4,21,20,30,0,4.193093851336701e-13,0,1.4737833843717228e-06
2019,4,22,0,0,0,3.7869525241254476e-14,0,1.6067503606261418e-07
2019,4,23,2,30,0,1.0387521676116623e-09,0,6.09771886971304e-13
2019,4,24,10,0,0,5.36595481736465e-12,0,4.664615199901703e-16
2019,4,24,16,0,0,1.8680238265981587e-13,0,9.277874261351408e-11
2019,4,25,0,30,0,1.3732057270813919e-17,0,4.89676810492199e-22
2019,4,25,1,30,0,2.712094392530593e-17,0,6.206677091463517e-23
2019,4,25,19,0,0,2.6176883422773807e-15,0,4.5020885409632546e-21
2019,4,26,9,30,0,2.29872847636668e-20,0,3.772926607884422e-18
2019,4,26,14,0,0,4.9368661655109347e-23,0,1.0404552494008992e-19
2019,4,26,15,30,0,2.6274049621524155e-23,0,3.0711614660212353e-18
2019,4,27,3,30,0,1.397868198675248e-20,0,1.2100635162851508e-24
2019,4,27,7,0,0,3.0034553620124892e-21,0,8.80857001508664e-22
2019,4,27,12,0,0,1.11938654025813e-19,0,2.5101095821489617e-19
2019,4,27,18,0,0,3.597733724143083e-18,0,2.5137754173615682e-17
2019,4,27,23,0,0,1.442620473220611e-22,0,3.2134452734006632e-16
2019,4,28,8,30,0,1.0285801608866487e-22,0,1.337812282777722e-16
2019,4,28,14,30,0,2.3858147462720226e-18,0,2.748463568229613e-19
2019,4,28,15,0,0,1.5324816860361156e-18,0,2.4675129509660096e-20
2019,4,29,15,30,0,1.1613748920244594e-19,0,3.569876177810705e-18
2019,5,1,12,30,0,1.3029107288176318e-23,0,2.300569063882479e-18
2019,5,1,20,30,0,8.446828532877996e-26,0,2.2971676307229357e-21
2019,5,3,0,30,0,2.5576485140915236e-17,0,2.6492218384322943e-19
2019,5,3,5,0,0,3.657100431514166e-19,0,1.8805330866751815e-23
2019,5,3,12,30,0,2.922857424793209e-17,0,6.922229611121947e-19
2019,5,3,13,30,0,5.118914741331521e-16,0,7.187572749549712e-19
2019,5,4,8,30,0,6.38746314769228e-25,0,6.830755560936917e-33
2019,5,4,10,30,0,1.1022291452275269e-21,0,2.3292652706173697e-28
2019,5,5,5,30,0,7.433154744575623e-33,0,1.9102450644515653e-28
2019,5,5,8,0,0,4.8779403470162615e-33,0,6.401405358660822e-27
2019,5,5,11,0,0,2.4363781678470495e-29,0,2.8736231176400655e-24
2019,5,5,12,0,0,4.434766877289353e-30,0,2.395978625062114e-22
2019,5,6,9,0,0,6.589895081367624e-27,0,1.7576015287954993e-24
2019,5,6,16,30,0,2.6552487583780667e-25,0,2.802561191898237e-20
2019,5,7,7,0,0,1.4047287009047978e-28,0,8.830670221137811e-22
2019,5,9,2,30,0,1.512625401440246e-21,0,3.943114113484241e-22
2019,5,9,8,0,0,1.1658889234323084e-25,0,1.460889129299512e-25
2019,5,9,9,30,0,5.6440341559147025e-24,0,4.299174872257088e-23
2019,5,9,18,0,0,1.0518234071519785e-22,0,1.9885625695211383e-25
2019,5,10,14,0,0,1.7482802781827808e-24,0,9.93594046543308e-21
2019,5,11,1,0,0,9.790634431874333e-28,0,6.6602158229595995e-22
2019,5,12,5,30,0,6.71651824634161e-22,0,4.879250401031346e-16
2019,5,13,1,30,0,3.139534092150058e-15,0,2.289667084788074e-16
2019,5,13,9,0,0,1.7709726671172066e-17,0,8.29806252622383e-17
2019,5,13,22,0,0,4.540730744595689e-19,0,6.325383186945999e-20
2019,5,13,23,0,0,2.038716506310423e-18,0,1.0530979094386552e-18
2019,5,14,2,0,0,9.025126109601515e-16,0,1.8268381683391844e-18
2019,5,14,10,0,0,1.1322965812279903e-15,0,7.603885527016603e-17
2019,5,14,22,30,0,6.845313961435888e-19,0,1.2460859220352726e-17
