MEA_DDHR,PLANT,LOC,X24H_TMA,X24H_COND_LOC,X24H_COND_LOC_PROB,X48H_TMA,X48H_COND_LOC,X48H_COND_LOC_PROB
2019-04-01 0:00,2,3,2019-04-02 0:00,,,2019-04-03 0:00,,
2019-04-01 4:30,1,2,2019-04-02 4:30,,,2019-04-03 4:30,,
2019-04-01 10:30,2,3,2019-04-02 10:30,,,2019-04-03 10:30,,
2019-04-01 11:00,1,1,2019-04-02 11:00,,,2019-04-03 11:00,,
2019-04-01 13:30,2,1,2019-04-02 13:30,,,2019-04-03 13:30,,
2019-04-01 17:00,2,2,2019-04-02 17:00,,,2019-04-03 17:00,,
2019-04-01 18:30,2,3,2019-04-02 18:30,,,2019-04-03 18:30,,
2019-04-01 20:30,2,1,2019-04-02 20:30,,,2019-04-03 20:30,,
2019-04-02 6:00,1,2,2019-04-03 6:00,,,2019-04-04 6:00,,
2019-04-02 7:00,1,1,2019-04-03 7:00,,,2019-04-04 7:00,,
2019-04-02 9:30,1,1,2019-04-03 9:30,,,2019-04-04 9:30,,
2019-04-02 12:30,1,2,2019-04-03 12:30,,,2019-04-04 12:30,,
2019-04-02 15:00,1,1,2019-04-03 15:00,,,2019-04-04 15:00,,
2019-04-02 16:00,2,2,2019-04-03 16:00,,,2019-04-04 16:00,,
2019-04-02 16:30,1,1,2019-04-03 16:30,,,2019-04-04 16:30,,
2019-04-02 17:00,2,2,2019-04-03 17:00,,,2019-04-04 17:00,,
2019-04-02 19:30,1,1,2019-04-03 19:30,,,2019-04-04 19:30,,
2019-04-03 0:30,1,2,2019-04-04 0:30,,,2019-04-05 0:30,,
2019-04-03 1:00,1,1,2019-04-04 1:00,,,2019-04-05 1:00,,
2019-04-03 3:00,2,3,2019-04-04 3:00,,,2019-04-05 3:00,,
2019-04-03 4:30,1,1,2019-04-04 4:30,,,2019-04-05 4:30,,
2019-04-03 7:00,2,1,2019-04-04 7:00,,,2019-04-05 7:00,,
2019-04-03 8:30,2,1,2019-04-04 8:30,,,2019-04-05 8:30,,
2019-04-03 9:00,1,1,2019-04-04 9:00,,,2019-04-05 9:00,,
2019-04-03 10:00,2,1,2019-04-04 10:00,,,2019-04-05 10:00,,
2019-04-03 11:00,2,2,2019-04-04 11:00,,,2019-04-05 11:00,,
2019-04-03 11:30,1,2,2019-04-04 11:30,,,2019-04-05 11:30,,
2019-04-03 12:30,1,3,2019-04-04 12:30,,,2019-04-05 12:30,,
2019-04-03 17:00,2,2,2019-04-04 17:00,,,2019-04-05 17:00,,
2019-04-03 19:00,2,2,2019-04-04 19:00,,,2019-04-05 19:00,,
2019-04-03 19:30,2,1,2019-04-04 19:30,,,2019-04-05 19:30,,
2019-04-04 0:30,1,2,2019-04-05 0:30,,,2019-04-06 0:30,,
2019-04-04 4:30,2,1,2019-04-05 4:30,,,2019-04-06 4:30,,
2019-04-04 5:00,2,2,2019-04-05 5:00,,,2019-04-06 5:00,,
2019-04-04 6:00,1,1,2019-04-05 6:00,,,2019-04-06 6:00,,
2019-04-04 14:30,2,3,2019-04-05 14:30,,,2019-04-06 14:30,,
2019-04-04 18:00,2,3,2019-04-05 18:00,,,2019-04-06 18:00,,
2019-04-04 22:00,1,1,2019-04-05 22:00,,,2019-04-06 22:00,,
2019-04-04 23:00,1,1,2019-04-05 23:00,,,2019-04-06 23:00,,
2019-04-05 0:00,2,1,2019-04-06 0:00,,,2019-04-07 0:00,,
2019-04-05 0:30,1,1,2019-04-06 0:30,,,2019-04-07 0:30,,
2019-04-05 1:30,2,2,2019-04-06 1:30,,,2019-04-07 1:30,,
2019-04-05 2:00,1,2,2019-04-06 2:00,,,2019-04-07 2:00,,
2019-04-05 2:30,1,3,2019-04-06 2:30,,,2019-04-07 2:30,,
2019-04-05 4:30,2,1,2019-04-06 4:30,,,2019-04-07 4:30,,
2019-04-05 6:30,2,2,2019-04-06 6:30,,,2019-04-07 6:30,,
2019-04-05 8:00,1,3,2019-04-06 8:00,,,2019-04-07 8:00,,
2019-04-05 13:00,2,3,2019-04-06 13:00,,,2019-04-07 13:00,,
2019-04-05 15:30,1,3,2019-04-06 15:30,,,2019-04-07 15:30,,
2019-04-05 18:00,1,1,2019-04-06 18:00,,,2019-04-07 18:00,,
2019-04-05 18:00,2,3,2019-04-06 18:00,,,2019-04-07 18:00,,
2019-04-05 21:30,1,2,2019-04-06 21:30,,,2019-04-07 21:30,,
2019-04-06 0:30,1,1,2019-04-07 0:30,,,2019-04-08 0:30,,
2019-04-06 2:00,2,3,2019-04-07 2:00,,,2019-04-08 2:00,,
2019-04-06 2:00,1,2,2019-04-07 2:00,,,2019-04-08 2:00,,
2019-04-06 6:30,1,3,2019-04-07 6:30,,,2019-04-08 6:30,,
2019-04-06 12:00,2,3,2019-04-07 12:00,,,2019-04-08 12:00,,
2019-04-06 17:00,1,1,2019-04-07 17:00,,,2019-04-08 17:00,,
2019-04-06 18:00,1,3,2019-04-07 18:00,,,2019-04-08 18:00,,
2019-04-06 21:00,2,1,2019-04-07 21:00,,,2019-04-08 21:00,,
2019-04-06 22:30,1,3,2019-04-07 22:30,,,2019-04-08 22:30,,
2019-04-07 0:30,2,2,2019-04-08 0:30,,,2019-04-09 0:30,,
2019-04-07 2:30,2,2,2019-04-08 2:30,,,2019-04-09 2:30,,
2019-04-07 3:00,1,3,2019-04-08 3:00,,,2019-04-09 3:00,,
2019-04-07 3:00,2,1,2019-04-08 3:00,,,2019-04-09 3:00,,
2019-04-07 7:30,2,1,2019-04-08 7:30,,,2019-04-09 7:30,,
2019-04-07 12:00,1,1,2019-04-08 12:00,,,2019-04-09 12:00,,
2019-04-07 13:30,2,2,2019-04-08 13:30,,,2019-04-09 13:30,,
