MEA_DDHR,PLANT,LOC,X24H_TMA,X24H_COND_LOC,X24H_COND_LOC_PROB,X48H_TMA,X48H_COND_LOC,X48H_COND_LOC_PROB
2019-04-01 00:00,2,3,2019-04-02 00:00,0,1.34192072911096e-27,2019-04-03 00:00,0,2.52978157541187e-22
2019-04-01 04:30,1,2,2019-04-02 04:30,0,4.3547128270695e-42,2019-04-03 04:30,0,5.86966672181669e-34
2019-04-01 10:30,2,3,2019-04-02 10:30,0,4.39541768153664e-20,2019-04-03 10:30,0,2.25956254853829e-17
2019-04-01 11:00,1,1,2019-04-02 11:00,0,1.15556738671171e-28,2019-04-03 11:00,0,9.72173718060925e-24
2019-04-01 13:30,2,1,2019-04-02 13:30,0,5.14767045346819e-27,2019-04-03 13:30,0,2.04438036459681e-23
2019-04-01 17:00,2,2,2019-04-02 17:00,0,9.68627190062377e-26,2019-04-03 17:00,0,1.43837466660888e-23
2019-04-01 18:30,2,3,2019-04-02 18:30,0,1.28722373392556e-20,2019-04-03 18:30,0,1.7380818945598e-18
2019-04-01 20:30,2,1,2019-04-02 20:30,0,7.92570716546175e-31,2019-04-03 20:30,0,1.1450471247118e-26
2019-04-02 06:00,1,2,2019-04-03 06:00,0,9.33408021330538e-36,2019-04-04 06:00,0,1.64968314446335e-29
2019-04-02 07:00,1,1,2019-04-03 07:00,0,1.86370427525598e-32,2019-04-04 07:00,0,6.23381091194194e-28
2019-04-02 09:30,1,1,2019-04-03 09:30,0,1.21064573828192e-24,2019-04-04 09:30,0,6.65315593985957e-22
2019-04-02 12:30,1,2,2019-04-03 12:30,0,1.36230980001854e-24,2019-04-04 12:30,0,2.67781094764612e-21
2019-04-02 15:00,1,1,2019-04-03 15:00,0,3.42678820095441e-28,2019-04-04 15:00,0,5.0894408053735e-25
2019-04-02 16:00,2,2,2019-04-03 16:00,0,6.28722262312302e-22,2019-04-04 16:00,0,7.17237167428069e-23
2019-04-02 16:30,1,1,2019-04-03 16:30,0,2.84668467468377e-29,2019-04-04 16:30,0,1.23730495091864e-28
2019-04-02 17:00,2,2,2019-04-03 17:00,0,1.41543727064731e-23,2019-04-04 17:00,0,1.95321017435323e-20
2019-04-02 19:30,1,1,2019-04-03 19:30,0,6.77877133758186e-29,2019-04-04 19:30,0,2.67011510950471e-19
2019-04-03 00:30,1,2,2019-04-04 00:30,0,6.45367583739961e-30,2019-04-05 00:30,0,3.82344200995718e-24
2019-04-03 01:00,1,1,2019-04-04 01:00,0,1.2272017949659e-25,2019-04-05 01:00,0,8.97445394391944e-20
2019-04-03 03:00,2,3,2019-04-04 03:00,0,1.7407332017195e-19,2019-04-05 03:00,0,1.37641496885513e-15
2019-04-03 04:30,1,1,2019-04-04 04:30,0,6.16140396740942e-26,2019-04-05 04:30,0,1.16854837417928e-17
2019-04-03 07:00,2,1,2019-04-04 07:00,0,1.12400061824358e-22,2019-04-05 07:00,0,1.83913591891412e-14
2019-04-03 08:30,2,1,2019-04-04 08:30,0,2.9816299590889e-19,2019-04-05 08:30,0,7.68360927460036e-14
2019-04-03 09:00,1,1,2019-04-04 09:00,0,1.18916854024355e-23,2019-04-05 09:00,0,2.48303328209374e-17
2019-04-03 10:00,2,1,2019-04-04 10:00,0,1.06428967771973e-17,2019-04-05 10:00,0,3.96705966636276e-14
2019-04-03 11:00,2,2,2019-04-04 11:00,0,2.70506602554703e-17,2019-04-05 11:00,0,2.6338289317842e-15
2019-04-03 11:30,1,2,2019-04-04 11:30,0,4.78592159699514e-22,2019-04-05 11:30,0,1.74130169224599e-19
2019-04-03 12:30,1,3,2019-04-04 12:30,0,3.06364010437326e-18,2019-04-05 12:30,0,2.75288784398001e-28
2019-04-03 17:00,2,2,2019-04-04 17:00,0,1.92605595265671e-20,2019-04-05 17:00,0,3.86472058274041e-25
2019-04-03 19:00,2,2,2019-04-04 19:00,0,4.52244395795262e-19,2019-04-05 19:00,0,2.91663701338804e-28
2019-04-03 19:30,2,1,2019-04-04 19:30,0,3.76933194101156e-18,2019-04-05 19:30,0,3.94395040401959e-27
2019-04-04 00:30,1,2,2019-04-05 00:30,0,3.78972596906011e-24,2019-04-06 00:30,0,8.04532143938541e-31
2019-04-04 04:30,2,1,2019-04-05 04:30,0,1.61788363859601e-15,2019-04-06 04:30,0,9.15214250698296e-30
2019-04-04 05:00,2,2,2019-04-05 05:00,0,1.3021806212836e-16,2019-04-06 05:00,0,5.57831299649486e-33
2019-04-04 06:00,1,1,2019-04-05 06:00,0,1.12461308291825e-17,2019-04-06 06:00,0,8.99974909708989e-31
2019-04-04 14:30,2,3,2019-04-05 14:30,0,1.86191483931667e-17,2019-04-06 14:30,0,2.71850941638185e-16
2019-04-04 18:00,2,3,2019-04-05 18:00,0,3.63135510158848e-22,2019-04-06 18:00,0,2.88111821695439e-16
2019-04-04 22:00,1,1,2019-04-05 22:00,0,4.32951574665189e-33,2019-04-06 22:00,0,3.15235073176982e-25
2019-04-04 23:00,1,1,2019-04-05 23:00,0,5.73183330615556e-31,2019-04-06 23:00,0,1.43416061091638e-26
2019-04-05 00:00,2,1,2019-04-06 00:00,0,2.97773284701877e-26,2019-04-07 00:00,0,1.01941660598785e-26
2019-04-05 00:30,1,1,2019-04-06 00:30,0,5.12989979782486e-29,2019-04-07 00:30,0,1.0531370694494e-26
2019-04-05 01:30,2,2,2019-04-06 01:30,0,6.32349768184242e-30,2019-04-07 01:30,0,2.99296643138012e-24
2019-04-05 02:00,1,2,2019-04-06 02:00,0,5.28467331114723e-34,2019-04-07 02:00,0,2.28579204563507e-27
2019-04-05 02:30,1,3,2019-04-06 02:30,0,5.57295434028483e-29,2019-04-07 02:30,0,1.09303550898416e-29
2019-04-05 04:30,2,1,2019-04-06 04:30,0,9.21804500593469e-30,2019-04-07 04:30,0,2.77140586323335e-25
2019-04-05 06:30,2,2,2019-04-06 06:30,0,2.34213749241439e-31,2019-04-07 06:30,0,5.72868493441358e-25
2019-04-05 08:00,1,3,2019-04-06 08:00,0,1.71346267274899e-25,2019-04-07 08:00,0,1.6219314311757e-26
2019-04-05 13:00,2,3,2019-04-06 13:00,0,1.07692528863453e-17,2019-04-07 13:00,0,1.36915909035137e-19
2019-04-05 15:30,1,3,2019-04-06 15:30,0,9.76929555250305e-28,2019-04-07 15:30,0,6.25139516054243e-28
2019-04-05 18:00,1,1,2019-04-06 18:00,0,7.72268963878464e-24,2019-04-07 18:00,0,6.12182817160531e-29
2019-04-05 18:00,2,3,2019-04-06 18:00,0,2.94235591348962e-16,2019-04-07 18:00,0,2.38151504642228e-20
2019-04-05 21:30,1,2,2019-04-06 21:30,0,1.27375345334685e-21,2019-04-07 21:30,0,1.03628839200517e-27
2019-04-06 00:30,1,1,2019-04-07 00:30,0,1.06262158530822e-26,2019-04-08 00:30,0,2.67462715102114e-27
2019-04-06 02:00,2,3,2019-04-07 02:00,0,2.87411057298963e-23,2019-04-08 02:00,0,6.6821678546981e-25
2019-04-06 02:00,1,2,2019-04-07 02:00,0,2.26319414633471e-27,2019-04-08 02:00,0,4.20085227722966e-34
