Year,Month,Day,Hour,Minute,TempOut2,Precipitation2,WindDirection2,WindSpeed2,LocalPressure2,SurfacePressure2,HumOut2,Radiation2,Sunlight2
2019,4,2,11,0,9.4,0,243.3,2.5,1022.8,1024,44.9,NaN,15300
2019,4,3,7,0,0.7,0,82.1,0.1,1023.1,1024.4,78,NaN,900
2019,4,3,9,30,8.9,0,182.2,2.7,1023.6,1024.8,55.1,NaN,9900
2019,4,3,15,0,10.3,0,209.7,3.1,1022.1,1023.3,50.6,NaN,29700
2019,4,3,16,30,9.8,0,279.6,1.4,1021.5,1022.7,57.3,NaN,35100
2019,4,3,19,30,5.2,0,135,0.2,1021.3,1022.5,75.9,NaN,38880
2019,4,4,1,0,2.5,0,9.5,1.4,1021.8,1023.1,85.9,NaN,0
2019,4,4,4,30,1.3,0,15,0,1020.7,1022,87.4,NaN,0
2019,4,4,9,0,8.1,0,170.5,2.6,1020.2,1021.4,71.3,NaN,8160
2019,4,5,6,0,9.1,0,182.2,5,1009.1,1010.3,83.3,NaN,0
2019,4,5,22,0,4.6,0,33.9,0,1011.2,1012.4,66.1,NaN,19380
2019,4,5,23,0,4.8,0,44.8,1,1011.6,1012.8,64.4,NaN,19380
2019,4,6,0,30,3,0,49.6,0.1,1012.1,1013.3,73.1,NaN,0
2019,4,6,18,0,15.2,0,184,2.5,1006.9,1008.1,30.9,NaN,14100
2019,4,7,0,30,9.6,0,60.8,0.8,1008.7,1009.9,79.3,NaN,0
2019,4,7,17,0,16.8,0,332.9,0.9,1005.5,1006.7,28.1,NaN,12660
2019,4,8,12,0,16.5,0,350.9,5.2,1013.7,1014.9,15.8,NaN,18900
2019,4,9,1,30,7.9,0,52.7,2,1016.7,1017.9,47.5,NaN,0
2019,4,10,2,30,7.4,3,32.4,2.3,1005.6,1006.8,80.3,NaN,0
2019,4,10,9,0,7.2,3.3,18.1,3.1,1008.8,1010,74.2,NaN,0
2019,4,10,9,30,7.5,3.3,12.9,2.1,1009.5,1010.7,72.5,NaN,0
2019,4,11,4,30,3.1,0,45.6,0.9,1013.6,1014.8,94.3,NaN,0
2019,4,11,10,0,9.8,0,138,0.6,1014.6,1015.8,69.6,NaN,2760
2019,4,11,16,30,12,0,302.1,0.7,1013,1014.2,58.4,NaN,23640
2019,4,13,22,0,8,0,15.8,0.6,1017.5,1018.7,70.7,NaN,30900
2019,4,14,7,30,9.9,0,247.9,0.9,1014.1,1015.3,56.3,NaN,0
2019,4,14,22,30,5.1,2.1,83.5,0,1016.7,1017.9,90.4,NaN,10560
2019,4,15,11,30,11.5,0,214.6,4,1019.1,1020.3,62.7,NaN,18240
2019,4,16,10,0,17.2,0,5.1,1.1,1016.6,1017.8,29.5,NaN,12720
2019,4,16,16,0,20.2,0,228.3,2.3,1013.2,1014.4,12.3,NaN,30420
2019,4,17,14,0,19.8,0,263,1.6,1010.6,1011.8,40.3,NaN,24660
2019,4,18,14,0,15.7,0,205.2,3.8,1011.6,1012.8,66.2,NaN,12180
2019,4,19,3,0,11.4,0,15.5,0.2,1012.2,1013.4,95.9,NaN,0
2019,4,20,13,30,18.3,0,232.1,1.4,1013,1014.2,58.8,NaN,8040
2019,4,20,16,30,17,0,221.5,1.7,1011.7,1012.9,62.1,NaN,13860
2019,4,21,19,30,13.8,0,66.9,0.6,1011.7,1012.9,85.4,NaN,6600
2019,4,22,8,30,15.6,0,49.5,1.5,1013.7,1014.9,69.2,NaN,7140
2019,4,22,11,0,21.1,0,343.4,1.2,1013.9,1015.1,55.3,NaN,15900
2019,4,22,13,30,23.6,0,230.8,0.8,1011.9,1013,48,NaN,24240
2019,4,22,18,30,16.3,0,226.4,1.3,1012.5,1013.7,61.4,NaN,37980
2019,4,23,7,30,16.6,0,14.8,0.7,1011.9,1013.1,75.5,NaN,0
2019,4,23,8,30,18.8,0,12.8,0.6,1011.4,1012.6,67.2,NaN,0
2019,4,23,15,0,16.2,0,193.5,2.1,1009.9,1011.1,82.9,NaN,0
2019,4,24,7,30,15.5,7.3,17.5,0,1005.5,1006.7,94.8,NaN,0
2019,4,25,1,30,10.6,0,198.1,0,1004.4,1005.6,96.2,NaN,0
2019,4,26,22,0,8.9,0.6,34.6,2.5,1015.3,1016.5,82.9,NaN,0
2019,4,27,11,0,14.1,0,357.2,1.7,1021.1,1022.3,51,NaN,17220
2019,4,28,4,0,9.8,0,329.7,0,1019.8,1021,88,NaN,0
