Year,Month,Day,Hour,Minute,WeatherTest_trend3,WeatherTest_trend4,WeatherTest_trend5,WeatherTest_trend6,WeatherTest_trend7,WeatherTest_trend8,WeatherTest_trend9,WeatherTest_trend10,WeatherTest_trend11,WeatherTest_trend12,WeatherTest_trend13,WeatherTest_trend14,WeatherTest_trend15,WeatherTest_trend16,WeatherTest_trend17,WeatherTest_trend18,WeatherTest_trend19,WeatherTest_trend20,WeatherTest_trend21,WeatherTest_trend22,WeatherTest_trend23,WeatherTest_trend24,WeatherTest_trend25,WeatherTest_trend26,WeatherTest_trend27,WeatherTest_trend28,WeatherTest_trend29,WeatherTest_trend30,WeatherTest_trend31,WeatherTest_trend32,WeatherTest_trend33,WeatherTest_trend34,WeatherTest_trend35,WeatherTest_trend36,WeatherTest_trend37,WeatherTest_trend38,WeatherTest_trend39,WeatherTest_trend40,WeatherTest_trend41,WeatherTest_trend42,WeatherTest_trend43,WeatherTest_trend44,WeatherTest_trend45,WeatherTest_trend46,WeatherTest_trend47,WeatherTest_trend48,WeatherTest_trend49,WeatherTest_trend50,WeatherTest_trend51,WeatherTest_trend52,WeatherTest_trend53,WeatherTest_trend54,WeatherTest_trend55,WeatherTest_trend56,WeatherTest_trend57,WeatherTest_trend58,WeatherTest_trend59,WeatherTest_trend60,WeatherTest_trend61,WeatherTest_trend62,WeatherTest_trend63,WeatherTest_trend64,WeatherTest_trend65,WeatherTest_trend66,WeatherTest_trend67,WeatherTest_trend68,WeatherTest_trend69,WeatherTest_trend70,WeatherTest_trend71,WeatherTest_trend72,WeatherTest_trend73,WeatherTest_trend74,WeatherTest_trend75,WeatherTest_trend76,WeatherTest_trend77,WeatherTest_trend78,WeatherTest_trend79,WeatherTest_trend80,WeatherTest_trend81,WeatherTest_trend82,WeatherTest_trend83,WeatherTest_trend84,WeatherTest_trend85,WeatherTest_trend86,WeatherTest_trend87,WeatherTest_trend88,WeatherTest_trend89,WeatherTest_trend90,WeatherTest_trend91,WeatherTest_trend92,WeatherTest_trend93,WeatherTest_trend94,WeatherTest_trend95,WeatherTest_trend96,WeatherTest_trend97,WeatherTest_trend98,WeatherTest_trend99,WeatherTest_trend100,WeatherTest_trend101,WeatherTest_trend102,WeatherTest_trend103,WeatherTest_trend104,WeatherTest_trend105,WeatherTest_trend106,WeatherTest_trend107,WeatherTest_trend108,WeatherTest_trend109,WeatherTest_trend110,WeatherTest_trend111,WeatherTest_trend112,WeatherTest_trend113,WeatherTest_trend114,WeatherTest_trend115,WeatherTest_trend116,WeatherTest_trend117,WeatherTest_trend118,WeatherTest_trend119,WeatherTest_trend120,WeatherTest_trend121,WeatherTest_trend122,WeatherTest_trend123,WeatherTest_trend124,WeatherTest_trend125,WeatherTest_trend126,WeatherTest_trend127,WeatherTest_trend128,WeatherTest_trend129,WeatherTest_trend130,WeatherTest_trend131,WeatherTest_trend132,WeatherTest_trend133,WeatherTest_trend134,WeatherTest_trend135,WeatherTest_trend136,WeatherTest_trend137,WeatherTest_trend138,WeatherTest_trend139,WeatherTest_trend140,WeatherTest_trend141,WeatherTest_trend142,WeatherTest_trend143,WeatherTest_trend144,WeatherTest_trend145,WeatherTest_trend146,WeatherTest_trend147,WeatherTest_trend148,WeatherTest_trend149,WeatherTest_trend150,WeatherTest_trend151,WeatherTest_trend152,WeatherTest_trend153,WeatherTest_trend154,WeatherTest_trend155,WeatherTest_trend156,WeatherTest_trend157,WeatherTest_trend158,WeatherTest_trend159,WeatherTest_trend160,WeatherTest_trend161,WeatherTest_trend162,WeatherTest_trend163,WeatherTest_trend164,WeatherTest_trend165,WeatherTest_trend166,WeatherTest_trend167,WeatherTest_trend168,WeatherTest_trend169,WeatherTest_trend170,WeatherTest_trend171,WeatherTest_trend172,WeatherTest_trend173,WeatherTest_trend174,WeatherTest_trend175,WeatherTest_trend176,WeatherTest_trend177,WeatherTest_trend178,WeatherTest_trend179,WeatherTest_trend180,WeatherTest_trend181,WeatherTest_trend182,WeatherTest_trend183,WeatherTest_trend184,WeatherTest_trend185,WeatherTest_trend186,WeatherTest_trend187,WeatherTest_trend188,WeatherTest_trend189,WeatherTest_trend190,WeatherTest_trend191,WeatherTest_trend192,WeatherTest_trend193,WeatherTest_trend194,WeatherTest_trend195,WeatherTest_trend196,WeatherTest_trend197,WeatherTest_trend198,WeatherTest_trend199,WeatherTest_trend200,WeatherTest_trend201,WeatherTest_trend202,WeatherTest_trend203,WeatherTest_trend204,WeatherTest_trend205,WeatherTest_trend206,WeatherTest_trend207,WeatherTest_trend208,WeatherTest_trend209,WeatherTest_trend210,WeatherTest_trend211,WeatherTest_trend212,WeatherTest_trend213,WeatherTest_trend214,WeatherTest_trend215,WeatherTest_trend216,WeatherTest_trend217,WeatherTest_trend218,WeatherTest_trend219,WeatherTest_trend220,WeatherTest_trend221,WeatherTest_trend222,WeatherTest_trend223,WeatherTest_trend224,WeatherTest_trend225,WeatherTest_trend226,WeatherTest_trend227,WeatherTest_trend228,WeatherTest_trend229,WeatherTest_trend230,WeatherTest_trend231,WeatherTest_trend232,WeatherTest_trend233,WeatherTest_trend234,WeatherTest_trend235,WeatherTest_trend236,WeatherTest_trend237,WeatherTest_trend238,WeatherTest_trend239,WeatherTest_trend240,WeatherTest_trend241,WeatherTest_trend242,WeatherTest_trend243,WeatherTest_trend244,WeatherTest_trend245,WeatherTest_trend246,WeatherTest_trend247,WeatherTest_trend248,WeatherTest_trend249,WeatherTest_trend250,WeatherTest_trend251,WeatherTest_trend252,WeatherTest_trend253,WeatherTest_trend254,WeatherTest_trend255,WeatherTest_trend256,WeatherTest_trend257,WeatherTest_trend258,WeatherTest_trend259,WeatherTest_trend260,WeatherTest_trend261,WeatherTest_trend262,WeatherTest_trend263,WeatherTest_trend264,WeatherTest_trend265,WeatherTest_trend266,WeatherTest_trend267,WeatherTest_trend268,WeatherTest_trend269,WeatherTest_trend270
2019,4,2,11,0,353.8,3,1021.7,1024.9,25.9,6.14,14100,9,0,348,3,1021.7,1024.9,24.7,6.1,14040,9.1,0,0.8,2.6,1021.7,1024.9,24.7,6.07,13980,9.3,0,359.3,2.5,1021.7,1024.9,25.4,6.03,13920,9.5,0,345.8,2.6,1021.7,1024.9,25.6,6.01,13860,9.6,0,351.1,2.7,1021.7,1024.9,25.7,5.99,13800,9.7,0,351.4,2.9,1021.7,1024.9,28,5.96,13740,9.6,0,338.7,2.7,1021.7,1024.9,28.9,5.92,13680,9.4,0,353.9,2.9,1021.7,1024.9,29.1,5.87,13620,9.4,0,342.5,2.7,1021.7,1024.9,28.8,5.82,13560,9.3,0,333.9,2.7,1021.7,1024.9,27.7,5.8,13500,9.3,0,332.2,3.3,1021.7,1024.9,27.3,5.76,13440,9.3,0,332.6,3.8,1021.7,1024.9,27.3,5.71,13380,9.3,0,348.4,2.9,1021.7,1024.9,27.1,5.66,13320,9.3,0,336.2,3.7,1021.7,1024.9,29.6,5.61,13260,9.2,0,354.2,2.7,1021.6,1024.8,25.4,6.23,14220,9.3,0,355.7,1.3,1021.6,1024.8,25.8,6.27,14280,9.5,0,351.1,3.6,1021.6,1024.8,25.7,6.32,14340,9.5,0,4.6,4.3,1021.6,1024.8,24.8,6.38,14400,9.3,0,350.3,2,1021.5,1024.7,23.7,6.42,14460,9.3,0,351.9,3.4,1021.5,1024.7,24.9,6.47,14520,9.5,0,353.6,3.7,1021.5,1024.7,26.1,6.49,14580,9.5,0,347.7,3.5,1021.5,1024.7,25.7,6.54,14640,9.5,0,342.1,4.2,1021.5,1024.7,24.5,6.59,14700,9.5,0,353.4,4.6,1021.5,1024.7,24.1,6.64,14760,9.4,0,342,3.4,1021.5,1024.7,24.4,6.69,14820,9.4,0,7.4,3.6,1021.5,1024.7,23.7,6.75,14880,9.4,0,359.5,3.1,1021.5,1024.7,23.4,6.8,14940,9.3,0,9.3,2.2,1021.5,1024.7,22.7,6.85,15000,9.4,0,357.3,2.3,1021.4,1024.6,23.2,6.9,15060
2019,4,3,7,0,21.9,0.3,1021.1,1024.4,84.9,0.09,360,-3,0,24.6,0.3,1021.1,1024.4,84.4,0.08,300,-3,0,46.9,0.5,1021.1,1024.4,84,0.07,240,-2.9,0,14.5,0.5,1021.1,1024.4,84,0.07,180,-2.8,0,14.4,0.4,1021.1,1024.4,84.3,0.06,120,-2.9,0,23.1,0.5,1021.1,1024.4,84.4,0.06,60,-2.9,0,27.6,0.7,1021.1,1024.4,84.3,0.05,0,-3,0,12.3,0.6,1021.1,1024.4,84,0.05,0,-3,0,15.1,0.5,1021.1,1024.4,83.9,0.05,0,-3,0,38.5,0.4,1021.1,1024.4,84,0.04,0,-3,0,41.1,0.2,1021.1,1024.4,84.3,0.04,0,-3,0,0,0,1021.1,1024.4,84.4,0.04,0,-3,0,0,0,1021.1,1024.4,84.5,0.04,0,-3,0,0,0,1021.1,1024.4,84.5,0.04,0,-3,0,0,0,1021.1,1024.4,84.8,0.03,0,-2.8,0,21.1,0.3,1021.1,1024.4,85.5,0.1,480,-2.7,0,11.1,0.5,1021.1,1024.4,85.6,0.1,540,-2.6,0,20.4,0.4,1021.1,1024.4,85.2,0.11,600,-2.4,0,30.9,0.4,1021.1,1024.4,84.7,0.12,660,-2.3,0,20.2,0.3,1021.1,1024.4,83.8,0.13,720,-2.2,0,16.9,0.3,1021.1,1024.4,83.1,0.13,780,-2.1,0,48.2,0.3,1021.1,1024.4,82.3,0.14,840,-2.1,0,22.7,0.4,1021.1,1024.4,81.8,0.15,900,-2.1,0,24.2,0.3,1021.1,1024.4,81.5,0.16,960,-2.1,0,31.7,0.3,1021.1,1024.4,81.2,0.17,1020,-2.1,0,0,0.1,1021.1,1024.4,81.3,0.17,1080,-2,0,0,0,1021.2,1024.5,81.4,0.18,1140,-1.8,0,0,0,1021.2,1024.5,81.3,0.19,1200,-1.6,0,0,0,1021.2,1024.5,81.1,0.2,1260,-1.4,0,0,0,1021.2,1024.5,80.8,0.21,1320
2019,4,3,9,30,335.9,2.1,1021.7,1024.9,59.7,3.34,9360,7.3,0,325.1,2.3,1021.7,1024.9,60.3,3.3,9300,7.3,0,272.5,1.8,1021.7,1024.9,60.7,3.27,9240,7.3,0,330.8,1.3,1021.7,1024.9,61.4,3.23,9180,7.3,0,337.7,2.3,1021.7,1024.9,62.2,3.2,9120,7.1,0,333.1,1.7,1021.7,1024.9,61.3,3.16,9060,7.1,0,301.5,1.8,1021.7,1024.9,61.4,3.12,9000,7,0,286.4,1.9,1021.7,1024.9,60.3,3.09,8940,7.1,0,253.3,2.5,1021.7,1024.9,60.8,3.05,8880,7,0,273.6,2.1,1021.7,1024.9,60.9,3.02,8820,7.1,0,269.2,2.6,1021.7,1024.9,61.4,2.99,8760,7,0,322.3,2.2,1021.8,1025,61.5,2.95,8700,7,0,254.9,2,1021.8,1025,62.4,2.92,8640,7,0,296,2.1,1021.8,1025,62.2,2.88,8580,6.9,0,325.6,2.7,1021.8,1025,61.5,2.85,8520,7.4,0,338.4,1.8,1021.7,1024.9,61.1,3.41,9480,7.5,0,279.6,2.1,1021.7,1024.9,59.7,3.45,9540,7.6,0,334.6,1.4,1021.7,1024.9,60,3.49,9600,7.6,0,272.4,1.6,1021.7,1024.9,58.8,3.52,9660,7.6,0,270.6,1.6,1021.7,1024.9,58.5,3.56,9720,7.5,0,322.9,1,1021.8,1025,59.1,3.6,9780,7.7,0,323,1.8,1021.8,1025,58.6,3.64,9840,7.9,0,344.2,1.7,1021.8,1025,57.6,3.68,9900,8.1,0,276.1,1.8,1021.8,1025,57.1,3.71,9960,8.2,0,13.7,0.9,1021.8,1025,55.4,3.75,10020,8.1,0,201.8,0.5,1021.8,1025,54.7,3.79,10080,8.2,0,276.8,1,1021.8,1025,55.3,3.83,10140,8.3,0,333.3,1.6,1021.8,1025,55.3,3.88,10200,8.5,0,337.3,2.4,1021.8,1025,54.6,3.92,10260,8.6,0,289.2,3.9,1021.8,1025,54,3.96,10320
2019,4,3,15,0,330.6,3,1019.7,1022.8,20,19.9,29160,11.5,0,343.4,3.4,1019.7,1022.8,19.7,19.86,29100,11.5,0,342,3.7,1019.7,1022.8,19,19.81,29040,11.6,0,347.2,4.1,1019.8,1022.9,18.6,19.77,28980,11.7,0,337.1,5.3,1019.7,1022.8,19.5,19.71,28920,11.7,0,323.6,5.4,1019.8,1022.9,19.8,19.68,28860,11.7,0,345.8,4.1,1019.8,1022.9,21.8,19.62,28800,11.5,0,338.2,2.5,1019.9,1023,21.7,19.59,28740,11.5,0,347.4,4.2,1019.9,1023,21.4,19.54,28680,11.6,0,351.2,4.3,1019.9,1023,22.1,19.5,28620,11.4,0,343.7,3,1019.9,1023.1,21.1,19.45,28560,11.5,0,321.6,3.6,1019.9,1023,21.7,19.4,28500,11.5,0,347.2,2.8,1019.9,1023,23,19.36,28440,11.3,0,357.4,2.1,1019.9,1023.1,21.1,19.31,28380,11.4,0,350.4,3.5,1019.9,1023.1,20.3,19.26,28320,11.5,0,341,5.2,1019.7,1022.8,19.6,19.99,29280,11.4,0,314.7,3.9,1019.7,1022.9,18.9,20.04,29340,11.4,0,343,3.7,1019.7,1022.9,19.3,20.08,29400,11.4,0,305.2,2.5,1019.6,1022.7,19.4,20.12,29460,11.4,0,307.4,1.8,1019.6,1022.7,20,20.17,29520,11.5,0,334.8,2.9,1019.6,1022.7,20.5,20.2,29580,11.6,0,330.6,3.9,1019.6,1022.7,21.4,20.26,29640,11.7,0,341.8,4.5,1019.6,1022.7,20.9,20.29,29700,11.8,0,321.1,4.4,1019.6,1022.7,20.7,20.34,29760,11.7,0,347.9,3.4,1019.6,1022.7,19.9,20.39,29820,11.5,0,353.9,2.6,1019.6,1022.7,20,20.43,29880,11.5,0,343,2.7,1019.6,1022.7,20.8,20.46,29940,11.7,0,341.1,2.9,1019.6,1022.7,21.9,20.51,30000,12.1,0,320.3,3.4,1019.5,1022.6,22.9,20.56,30060,12.2,0,340.4,2.7,1019.5,1022.6,21.3,20.6,30120
2019,4,3,16,30,344.8,3.8,1019,1022.1,19.4,23.15,34560,11.8,0,326.9,3.6,1019,1022.1,19.1,23.13,34500,12.1,0,343.2,3.6,1019,1022.1,20.4,23.1,34440,11.9,0,301.2,3.2,1019,1022.1,19.5,23.07,34380,11.9,0,342.5,3.3,1019,1022.1,20.5,23.04,34320,11.8,0,343.3,3.7,1019,1022.1,20.5,23.02,34260,11.7,0,315.5,3,1019,1022.1,20.4,22.99,34200,11.7,0,306.7,2.7,1019.1,1022.2,20.1,22.96,34140,11.7,0,316.9,3.3,1019.1,1022.2,21,22.93,34080,11.4,0,332.5,3.4,1019.1,1022.2,20.3,22.9,34020,11.4,0,338.5,3.9,1019.1,1022.2,18.6,22.87,33960,11.6,0,300.2,3.2,1019.1,1022.2,19.1,22.84,33900,11.7,0,326.9,3,1019.1,1022.2,18.7,22.82,33840,11.8,0,295.9,3.3,1019.1,1022.2,18.1,22.79,33780,11.8,0,307.5,3.5,1019.1,1022.2,18.4,22.76,33720,11.5,0,311.8,3.7,1019.1,1022.2,19.8,23.21,34680,11.5,0,342.1,4.2,1019.1,1022.2,19.5,23.23,34740,11.6,0,334.4,4.4,1019,1022.1,19.2,23.26,34800,11.7,0,310.2,3.4,1019,1022.1,19.8,23.28,34860,11.7,0,335.8,2.3,1019.1,1022.2,18.8,23.31,34920,11.6,0,345.4,2.3,1019.1,1022.2,17.9,23.34,34980,11.6,0,342,3.5,1019.1,1022.2,18.3,23.36,35040,11.6,0,319.3,4.3,1019.1,1022.2,19.5,23.39,35100,11.5,0,335.8,5.3,1019.1,1022.2,19.2,23.41,35160,11.6,0,337.9,4.2,1019.1,1022.2,20.2,23.44,35220,11.7,0,346.7,4.8,1019.1,1022.2,20.3,23.46,35280,11.5,0,345,3.9,1019.2,1022.3,18.7,23.48,35340,11.3,0,348.6,3.2,1019.2,1022.4,18.6,23.51,35400,11.3,0,325.8,3.7,1019.2,1022.4,20.1,23.53,35460,11.2,0,338.4,4.1,1019.2,1022.4,19.2,23.56,35520
2019,4,3,19,30,335.4,3.2,1020.1,1023.3,26.8,24.83,41880,6.4,0,341.8,2,1020.1,1023.3,27,24.83,41880,6.4,0,328.3,2.8,1020.1,1023.3,26.5,24.83,41880,6.4,0,345.1,3.1,1020.1,1023.3,26.7,24.83,41880,6.4,0,320.2,3.1,1020.1,1023.3,27,24.83,41880,6.5,0,341.4,2.8,1020.1,1023.3,26.9,24.83,41880,6.5,0,317.5,3.1,1020.1,1023.3,26.6,24.83,41880,6.6,0,339.6,2.8,1020.1,1023.3,25.8,24.83,41880,6.6,0,339,3.5,1020.1,1023.3,25.2,24.83,41880,6.6,0,322.3,3.2,1020,1023.2,25.5,24.83,41880,6.6,0,335.6,2.6,1020,1023.2,25.7,24.83,41880,6.7,0,342.7,3.2,1020.1,1023.3,25.4,24.83,41880,6.7,0,334.1,3.2,1020.1,1023.3,24.5,24.83,41880,6.7,0,318,3.3,1020,1023.2,24.8,24.83,41880,6.8,0,314,2.2,1020,1023.2,24.8,24.83,41880,6.4,0,339.6,3.4,1020.1,1023.3,26.1,24.83,41880,6.4,0,311.1,3.2,1020.2,1023.4,26.5,24.83,41880,6.4,0,341.6,3.1,1020.2,1023.4,26.2,24.83,41880,6.4,0,317.1,3.5,1020.2,1023.4,26,24.83,41880,6.4,0,323.9,2.5,1020.3,1023.5,26.5,24.83,41880,6.3,0,339.9,2.4,1020.3,1023.5,26.9,24.83,41880,6.3,0,339.8,3.2,1020.3,1023.5,26.3,24.83,41880,6.3,0,317.7,2.5,1020.4,1023.6,26,24.83,41880,6.3,0,323.1,2.6,1020.4,1023.6,26.3,24.83,41880,6.3,0,344.4,2.5,1020.4,1023.6,26.2,24.83,41880,6.3,0,345.9,3.2,1020.5,1023.7,25.9,24.83,41880,6.3,0,325.9,1.8,1020.5,1023.7,25.7,24.83,41880,6.3,0,342.1,2.3,1020.5,1023.7,26.1,24.83,41880,6.3,0,338.1,3.6,1020.5,1023.7,25.8,24.83,41880,6.3,0,315.2,3.5,1020.5,1023.7,25.2,24.83,41880
2019,4,4,1,0,63,1.7,1021.6,1024.9,75.9,0,0,0,0,63.2,1.6,1021.7,1025,74.7,0,0,0.1,0,31,0.9,1021.7,1025,73,0,0,0.4,0,50.5,0.2,1021.7,1025,73.6,0,0,0.6,0,52.6,0.3,1021.7,1025,74.5,0,0,0.6,0,14,0.5,1021.7,1025,74.7,0,0,0.5,0,10.8,0.5,1021.7,1025,74.4,0,0,0.5,0,18.5,0.1,1021.7,1025,74.5,0,0,0.6,0,0,0,1021.7,1025,75,0,0,0.5,0,0,0,1021.7,1025,74.1,0,0,0.6,0,0,0,1021.7,1025,73.4,0,0,0.7,0,0,0,1021.7,1025,72.4,0,0,0.9,0,0,0,1021.7,1025,73.1,0,0,0.9,0,0,0,1021.7,1025,73.1,0,0,0.8,0,15.8,0.2,1021.7,1025,73.2,0,0,0.6,0,61.9,1.2,1021.6,1024.9,76.2,0,0,0.8,0,60,0.8,1021.7,1025,75.6,0,0,0.5,0,19.4,0.5,1021.6,1024.9,74,0,0,0.2,0,20.1,0.6,1021.6,1024.9,74.6,0,0,0.3,0,25,0.6,1021.6,1024.9,76,0,0,0.3,0,47.7,0.6,1021.6,1024.9,75.7,0,0,0.4,0,26.2,0.7,1021.6,1024.9,75.5,0,0,0.3,0,26.5,0.7,1021.6,1024.9,75.2,0,0,0.3,0,14.1,0.5,1021.7,1025,75.3,0,0,0,0,347.1,0.3,1021.7,1025,74.5,0,0,-0.2,0,17,0.3,1021.6,1024.9,75.2,0,0,-0.2,0,15.1,0.2,1021.6,1024.9,76.1,0,0,-0.1,0,19.1,0.5,1021.6,1024.9,77.7,0,0,0,0,18.9,0.7,1021.5,1024.8,78.1,0,0,0.1,0,13.5,0.7,1021.5,1024.8,78,0,0
2019,4,4,4,30,128.1,0.6,1021.4,1024.7,85.1,0,0,-0.9,0,128.7,0.7,1021.4,1024.7,85.5,0,0,-0.9,0,22.9,0.8,1021.4,1024.7,86.4,0,0,-0.9,0,135.8,0.6,1021.4,1024.7,86.8,0,0,-1,0,26.2,0.6,1021.4,1024.7,87,0,0,-1.1,0,24.8,0.6,1021.3,1024.6,87.1,0,0,-1.2,0,163.6,0.7,1021.3,1024.6,86.9,0,0,-1.3,0,181.4,0.7,1021.3,1024.6,86.8,0,0,-1.3,0,353.7,0.6,1021.3,1024.6,86.8,0,0,-1.3,0,351.7,0.6,1021.3,1024.6,86.8,0,0,-1.3,0,235.6,0.6,1021.3,1024.6,87.1,0,0,-1.4,0,231.3,0.5,1021.3,1024.6,87,0,0,-1.4,0,321,0.5,1021.4,1024.7,87.1,0,0,-1.4,0,214.4,0.5,1021.3,1024.6,86.9,0,0,-1.5,0,3.4,0.3,1021.3,1024.6,86,0,0,-1.1,0,116.2,0.4,1021.4,1024.7,84.9,0,0,-1.1,0,29.7,0.5,1021.4,1024.7,84.9,0,0,-1.2,0,113,0.4,1021.4,1024.7,84.8,0,0,-1.3,0,24.6,0.4,1021.4,1024.7,84.3,0,0,-1.5,0,92.5,0.5,1021.4,1024.7,84.4,0,0,-1.5,0,103.2,0.7,1021.4,1024.7,84.5,0,0,-1.5,0,29.4,0.8,1021.4,1024.7,84.9,0,0,-1.4,0,94.7,0.9,1021.5,1024.8,85.6,0,0,-1.3,0,29.6,0.9,1021.5,1024.8,85.9,0,0,-1.3,0,73.5,0.6,1021.5,1024.8,86.1,0,0,-1.3,0,40.9,0.8,1021.5,1024.8,86.3,0,0,-1.4,0,13.9,1.1,1021.5,1024.8,86.4,0,0,-1.4,0,14.6,1.1,1021.5,1024.8,86.8,0,0,-1.3,0,14.9,1,1021.5,1024.8,87,0,0,-1.4,0,44.4,0.8,1021.5,1024.8,87,0,0
2019,4,4,9,0,253.5,0.6,1022.3,1025.5,66.6,2.11,7560,6.5,0,333.3,1.3,1022.3,1025.5,66.3,2.08,7500,6.4,0,329,1.7,1022.3,1025.5,65.4,2.06,7440,6.5,0,331.6,2.4,1022.2,1025.4,66.3,2.03,7380,6.5,0,266.9,2.9,1022.2,1025.4,67.3,2,7320,6.3,0,278.4,1.9,1022.2,1025.4,66.9,1.97,7260,6.2,0,337.5,1.5,1022.1,1025.3,65.9,1.94,7200,6.2,0,327.9,1.7,1022.1,1025.3,66.1,1.91,7140,6.1,0,285.4,1.8,1022.1,1025.3,66.3,1.88,7080,6,0,333.8,1.5,1022.2,1025.4,65.3,1.85,7020,6,0,318.8,1.6,1022.2,1025.4,66.3,1.83,6960,5.9,0,285.1,1.5,1022.2,1025.4,66.2,1.8,6900,5.9,0,276.6,1.6,1022.2,1025.4,67.1,1.77,6840,5.8,0,330.7,1.3,1022.1,1025.3,67.7,1.74,6780,5.7,0,333.9,1.1,1022.1,1025.3,67.2,1.72,6720,6.7,0,323,1.1,1022.4,1025.6,67.2,2.18,7680,6.9,0,355.2,1.5,1022.4,1025.6,67.2,2.21,7740,6.9,0,274.4,0.6,1022.4,1025.6,66,2.24,7800,7,0,339,1.8,1022.4,1025.6,65.8,2.27,7860,7,0,284.3,1.6,1022.4,1025.6,66,2.3,7920,7,0,341.8,2,1022.3,1025.5,65.6,2.33,7980,7,0,277.4,1.9,1022.3,1025.5,65.8,2.35,8040,7,0,332.2,1.7,1022.3,1025.5,65.9,2.39,8100,7,0,333.9,1.2,1022.3,1025.5,65.7,2.42,8160,7,0,286.8,1.6,1022.3,1025.5,66.4,2.46,8220,7.2,0,328.8,2.1,1022.4,1025.6,67,2.49,8280,7.2,0,327.1,2,1022.4,1025.6,66,2.52,8340,7.2,0,291.3,2.3,1022.4,1025.6,65.8,2.55,8400,7.3,0,288,1.8,1022.4,1025.6,66.4,2.59,8460,7.3,0,255.2,2,1022.4,1025.6,66.6,2.62,8520
2019,4,5,6,0,0,0,1018.7,1022,97.2,0.01,0,-0.4,0,0,0,1018.7,1022,97.1,0.01,0,-0.2,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.3,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.4,0,0,0,1018.8,1022.1,97.1,0.01,0,-0.5,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.5,0,0,0,1018.8,1022.1,97.1,0.01,0,-0.7,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.9,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.9,0,0,0,1018.8,1022.1,97.2,0.01,0,-1,0,0,0,1018.8,1022.1,97.1,0.01,0,-1,0,0,0,1018.8,1022.1,97.2,0.01,0,-1,0,0,0,1018.8,1022.1,97.2,0.01,0,-1,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.9,0,0,0,1018.8,1022.1,97.1,0.01,0,-0.5,0,0,0.1,1018.7,1022,97.2,0.01,0,-0.6,0,0,0,1018.7,1022,97.2,0.01,0,-0.6,0,0,0,1018.7,1022,97.2,0.01,0,-0.6,0,0,0,1018.7,1022,97.2,0.01,0,-0.5,0,0,0,1018.7,1022,97.2,0.01,0,-0.6,0,0,0,1018.7,1022,97.2,0.01,0,-0.7,0,187.7,0.1,1018.7,1022,97.1,0.01,0,-0.9,0,0,0,1018.7,1022,97.2,0.01,0,-0.8,0,0,0,1018.7,1022,97.2,0.01,0,-0.8,0,0,0.1,1018.8,1022.1,97.1,0.01,0,-0.8,0,0,0.1,1018.8,1022.1,97.2,0.01,0,-0.8,0,305.2,0.2,1018.8,1022.1,97.2,0.01,0,-0.9,0,321.8,0.2,1018.8,1022.1,97.2,0.01,0,-0.9,0,315.1,0.3,1018.8,1022.1,97.2,0.01,0,-1,0,342.2,0.3,1018.8,1022.1,97.2,0.01,0
