WeatherTest1,WeatherTest2,WeatherTest3,WeatherTest4,WeatherTest5,WeatherTest6,WeatherTest7,WeatherTest8,WeatherTest9,WeatherTest10,WeatherTest11,WeatherTest12,WeatherTest13,WeatherTest14,WeatherTest15,WeatherTest16,WeatherTest17,WeatherTest18,WeatherTest19,WeatherTest20,WeatherTest21,WeatherTest22,WeatherTest23,WeatherTest24,WeatherTest25,WeatherTest26,WeatherTest27,WeatherTest28,WeatherTest29,WeatherTest30,WeatherTest31,WeatherTest32,WeatherTest33,WeatherTest34,WeatherTest35,WeatherTest36,WeatherTest37,WeatherTest38,WeatherTest39,WeatherTest40,WeatherTest41,WeatherTest42,WeatherTest43,WeatherTest44,WeatherTest45,WeatherTest46,WeatherTest47,WeatherTest48,WeatherTest49,WeatherTest50,WeatherTest51,WeatherTest52,WeatherTest53,WeatherTest54,WeatherTest55,WeatherTest56,WeatherTest57,WeatherTest58,WeatherTest59,WeatherTest60,WeatherTest61,WeatherTest62,WeatherTest63,WeatherTest64,WeatherTest65,WeatherTest66,WeatherTest67,WeatherTest68,WeatherTest69,WeatherTest70,WeatherTest71,WeatherTest72,WeatherTest73,WeatherTest74,WeatherTest75,WeatherTest76,WeatherTest77,WeatherTest78,WeatherTest79,WeatherTest80,WeatherTest81,WeatherTest82,WeatherTest83,WeatherTest84,WeatherTest85,WeatherTest86,WeatherTest87,WeatherTest88,WeatherTest89,WeatherTest90,WeatherTest91,WeatherTest92,WeatherTest93,WeatherTest94,WeatherTest95,WeatherTest96,WeatherTest97,WeatherTest98,WeatherTest99,WeatherTest100,WeatherTest101,WeatherTest102,WeatherTest103,WeatherTest104,WeatherTest105,WeatherTest106,WeatherTest107,WeatherTest108,WeatherTest109,WeatherTest110,WeatherTest111,WeatherTest112,WeatherTest113,WeatherTest114,WeatherTest115,WeatherTest116,WeatherTest117,WeatherTest118,WeatherTest119,WeatherTest120,WeatherTest121,WeatherTest122,WeatherTest123,WeatherTest124,WeatherTest125,WeatherTest126,WeatherTest127,WeatherTest128,WeatherTest129,WeatherTest130,WeatherTest131,WeatherTest132,WeatherTest133,WeatherTest134,WeatherTest135,WeatherTest136,WeatherTest137,WeatherTest138,WeatherTest139,WeatherTest140,WeatherTest141,WeatherTest142,WeatherTest143,WeatherTest144,WeatherTest145,WeatherTest146,WeatherTest147,WeatherTest148,WeatherTest149,WeatherTest150,WeatherTest151,WeatherTest152,WeatherTest153,WeatherTest154,WeatherTest155,WeatherTest156,WeatherTest157,WeatherTest158,WeatherTest159,WeatherTest160,WeatherTest161,WeatherTest162,WeatherTest163,WeatherTest164,WeatherTest165,WeatherTest166,WeatherTest167,WeatherTest168,WeatherTest169,WeatherTest170,WeatherTest171,WeatherTest172,WeatherTest173,WeatherTest174,WeatherTest175,WeatherTest176,WeatherTest177,WeatherTest178,WeatherTest179,WeatherTest180,WeatherTest181,WeatherTest182,WeatherTest183,WeatherTest184,WeatherTest185,WeatherTest186,WeatherTest187,WeatherTest188,WeatherTest189,WeatherTest190,WeatherTest191,WeatherTest192,WeatherTest193,WeatherTest194,WeatherTest195,WeatherTest196,WeatherTest197,WeatherTest198,WeatherTest199,WeatherTest200,WeatherTest201,WeatherTest202,WeatherTest203,WeatherTest204,WeatherTest205,WeatherTest206,WeatherTest207,WeatherTest208,WeatherTest209,WeatherTest210,WeatherTest211,WeatherTest212,WeatherTest213,WeatherTest214,WeatherTest215,WeatherTest216,WeatherTest217,WeatherTest218,WeatherTest219,WeatherTest220,WeatherTest221,WeatherTest222,WeatherTest223,WeatherTest224,WeatherTest225,WeatherTest226,WeatherTest227,WeatherTest228,WeatherTest229,WeatherTest230,WeatherTest231,WeatherTest232,WeatherTest233,WeatherTest234,WeatherTest235,WeatherTest236,WeatherTest237,WeatherTest238,WeatherTest239,WeatherTest240,WeatherTest241,WeatherTest242,WeatherTest243,WeatherTest244,WeatherTest245,WeatherTest246,WeatherTest247,WeatherTest248,WeatherTest249,WeatherTest250,WeatherTest251,WeatherTest252,WeatherTest253,WeatherTest254,WeatherTest255,WeatherTest256,WeatherTest257,WeatherTest258,WeatherTest259,WeatherTest260,WeatherTest261,WeatherTest262,WeatherTest263,WeatherTest264,WeatherTest265,WeatherTest266,WeatherTest267,WeatherTest268,WeatherTest269,WeatherTest270,WeatherTest271,WeatherTest272,WeatherTest273,WeatherTest274,WeatherTest275
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,3,12,30,12.5,0,328,5,1021.6,1024.7,35.6,11.07,19440,12.5,0,307.8,3.9,1021.6,1024.7,35.8,11.03,19380,12.5,0,330.5,3.3,1021.6,1024.7,35.6,10.99,19320,12.6,0,329.9,3.4,1021.7,1024.8,34.3,10.95,19260,12.6,0,330.7,4.4,1021.7,1024.8,35.9,10.9,19200,12.5,0,272.1,4.7,1021.7,1024.8,35.9,10.84,19140,12.5,0,307.1,4.4,1021.7,1024.8,34.6,10.8,19080,12.7,0,334.1,5,1021.7,1024.8,35.2,10.74,19020,12.7,0,300.7,4.3,1021.7,1024.8,37.7,10.69,18960,12.6,0,283.3,2.1,1021.7,1024.8,36.7,10.65,18900,12.7,0,326.3,3.4,1021.8,1024.9,38,10.58,18840,12.5,0,267,3.8,1021.8,1024.9,37.3,10.51,18780,12.7,0,278.3,3.5,1021.8,1024.9,37.3,10.44,18720,12.7,0,326.7,4.6,1021.8,1024.9,41.4,10.38,18660,12.4,0,331.3,3.7,1021.8,1024.9,41.8,10.31,18600,12.5,0,358.5,2.8,1021.6,1024.7,37.1,11.18,19560,12.6,0,335.2,3.9,1021.6,1024.7,36.6,11.23,19620,12.5,0,265.1,4.1,1021.6,1024.7,35.8,11.28,19680,12.6,0,334.7,4,1021.6,1024.7,34.7,11.34,19740,12.6,0,300.4,4.5,1021.6,1024.7,34.5,11.39,19800,12.7,0,286.4,4.5,1021.6,1024.7,35.1,11.45,19860,12.7,0,337.5,4.1,1021.6,1024.7,35.1,11.48,19920,12.6,0,326.4,4,1021.6,1024.7,34.6,11.53,19980,12.4,0,340.9,2.8,1021.6,1024.7,33.1,11.56,20040,12.2,0,270.3,4.3,1021.7,1024.8,35.2,11.59,20100,12,0,329.7,3.8,1021.7,1024.8,37.2,11.61,20160,11.9,0,238.3,3.3,1021.7,1024.8,37.3,11.64,20160,11.7,0,281.8,2,1021.6,1024.8,36.6,11.66,20160,11.6,0,335.8,3.1,1021.6,1024.8,37.4,11.69,20160,11.5,0,335.7,3.5,1021.6,1024.8,39.8,11.73,20160
2019,4,4,0,30,0.9,0,327,0.6,1021,1024.3,89.9,0,0,1,0,327.8,0.2,1021,1024.3,89,0,0,1.1,0,146.8,0.3,1020.9,1024.2,88.7,0,0,1.4,0,75.6,0.1,1020.9,1024.2,89.3,0,0,1.5,0,0,0,1020.9,1024.2,89.3,0,0,1.9,0,0,0,1020.9,1024.2,90.9,0,0,2,0,0,0,1020.9,1024.2,91.1,0,0,1.9,0,0,0,1020.9,1024.2,90.1,0,0,1.9,0,32.1,0.2,1020.9,1024.2,90,0,0,2.3,0,206.6,0.6,1020.9,1024.2,93,0,0,2.2,0,4.3,1,1020.9,1024.2,92.9,0,0,2.2,0,10.4,1.3,1020.9,1024.2,93.9,0,0,2.1,0,155.5,1.3,1021,1024.3,94.4,0,0,1.8,0,12.3,1.5,1021,1024.3,94.2,0,0,1.6,0,169,1.6,1021,1024.3,94,0,0,1.1,0,294.2,0.5,1021,1024.3,91.6,0,0,1.2,0,354.6,0.2,1021,1024.3,91.7,0,0,1.2,0,0,0,1020.9,1024.2,91.6,0,0,1.4,0,0,0,1020.9,1024.2,92.6,0,0,1.5,0,0,0,1020.9,1024.2,92.9,0,0,1.6,0,0,0,1020.8,1024.1,92.8,0,0,1.6,0,0,0.1,1020.9,1024.2,93.1,0,0,1.3,0,346.2,0.2,1020.9,1024.2,91.5,0,0,1,0,304.3,0.2,1020.9,1024.2,90.6,0,0,0.9,0,336.8,0.3,1020.9,1024.2,91.1,0,0,1,0,0,0.1,1020.9,1024.2,91.9,0,0,1.1,0,0,0,1020.8,1024.1,92.1,0,0,1.3,0,0,0,1020.8,1024.1,92.9,0,0,1.3,0,0,0,1020.8,1024.1,92.8,0,0,1.6,0,0,0.1,1020.8,1024.1,93.5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,5,0,30,6.4,0,319.9,3.4,1010.8,1014,86.3,0,0,6.4,0,332.4,4.1,1010.8,1014,86.3,0,0,6.4,0,254.1,3.1,1010.9,1014.1,86.2,0,0,6.4,0,226.8,3.5,1011,1014.2,86.1,0,0,6.4,0,334.9,3,1011,1014.2,86.1,0,0,6.4,0,229.6,3.6,1010.9,1014.1,86.1,0,0,6.4,0,270.9,3.6,1011,1014.2,85.9,0,0,6.4,0,329.2,2.9,1010.9,1014.1,85.8,0,0,6.5,0,241,3,1011,1014.2,85.9,0,0,6.5,0,255.7,3.8,1010.9,1014.1,86.1,0,0,6.5,0,318.1,3.4,1011,1014.2,86.2,0,0,6.5,0,342.8,3.8,1011,1014.2,86.3,0,0,6.5,0,233.8,4.6,1011,1014.2,86.3,0,0,6.5,0,348,4.3,1011,1014.2,86.2,0,0,6.5,0,346.6,3,1011,1014.2,86.1,0,0,6.4,0,268.2,3.8,1010.8,1014,86.2,0,0,6.4,0,338.8,4,1010.8,1014,86.3,0,0,6.4,0,264.2,4.6,1010.8,1014,86.4,0,0,6.4,0,333.3,4.9,1010.7,1013.9,86.4,0,0,6.4,0,327.2,4.9,1010.7,1013.9,86.4,0,0,6.5,0,257,5,1010.7,1013.9,86.3,0,0,6.5,0,334.9,5.6,1010.7,1013.9,86.2,0,0,6.5,0,232.3,4.5,1010.7,1013.9,86.1,0,0,6.5,0,232.8,4.1,1010.6,1013.8,86,0,0,6.5,0,273.3,4.4,1010.6,1013.8,85.9,0,0,6.5,0,337.5,4.8,1010.6,1013.8,85.8,0,0,6.5,0,338.9,4.7,1010.6,1013.8,85.7,0,0,6.5,0,240.6,4.7,1010.5,1013.7,85.7,0,0,6.5,0,342.9,3.8,1010.5,1013.7,85.7,0,0,6.4,0,239,4.5,1010.5,1013.7,85.7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
