Year,Month,Day,Hour,Minute,TempOut,Precipitation,WindDirection,WindSpeed,LocalPressure,SurfacePressure,HumOut,Radiation,Sunlight
2019,4,2,13,30,11.2,0,358.5,4.6,1020.6,1023.8,20.6,15.45,23820
2019,4,2,20,30,5.6,0,324,2.6,1021,1024.2,30.6,24.83,41880
2019,4,4,7,0,0.1,0,0,0,1019.1,1022.4,97.2,0.09,360
2019,4,4,8,30,6.8,0,216.2,3.7,1018.9,1022.1,85.3,1.15,5580
2019,4,4,10,0,9.4,0,344.4,5,1018.4,1021.6,68.3,4.08,10980
2019,4,4,19,30,7.5,0,171.1,4.2,1011.6,1014.8,85.8,24.57,40860
2019,4,5,4,30,8.3,0,210.2,4.2,1008.3,1011.4,90.8,0.01,0
2019,4,6,0,0,3.9,0,0,0,1010.6,1013.8,56.7,21.2,30480
2019,4,6,4,30,1.7,0,10.6,0.9,1009.9,1013.1,68.8,0,0
2019,4,7,21,0,10.8,0,1.3,1.7,1007.9,1011,28.1,19.6,22020
2019,4,8,3,0,8.4,0,40.6,1,1009.5,1012.6,41.5,0,0
2019,4,8,7,30,7.8,0,66.4,0.3,1012.3,1015.5,51.6,0.34,2640
2019,4,9,8,0,10.3,0,20.7,1.7,1013.8,1016.9,41.1,0.38,0
2019,4,9,23,0,5.5,25.5,19.1,4.2,1006.4,1009.6,96.3,5.81,1260
2019,4,10,2,0,5.1,1.4,33.4,2.7,1006.4,1009.6,96.6,0,0
2019,4,11,13,0,14.9,0,334,1.7,1012.7,1015.8,52.4,9.84,13920
2019,4,12,15,30,17.1,0,320.9,4.4,1015.7,1018.8,26.2,21.49,28920
2019,4,13,3,0,3.2,0,4.5,0.6,1017.7,1020.9,95.9,0,0
2019,4,14,19,0,9.4,1.7,340.9,4.4,1013.2,1016.3,53.2,13.38,20340
2019,4,16,0,30,5,0,0,0,1017.4,1020.6,90.8,0,0
2019,4,17,5,0,5.3,0,30.6,0.9,1011.6,1014.8,76.5,0,0
2019,4,17,6,30,5.1,0,16.5,0.7,1011.8,1015,79.3,0.03,0
2019,4,17,11,0,19.5,0,294.9,3.1,1011.7,1014.7,24.9,7.92,15900
2019,4,18,0,0,9.7,0,7.2,1.9,1008.9,1012,88.5,26.47,44220
2019,4,18,7,0,11.6,0,355.5,1.7,1008.5,1011.6,95.8,0.12,0
2019,4,19,11,30,17.2,0,296.2,3.1,1013.7,1016.8,61.1,7.26,8880
2019,4,19,14,0,17,0,356.6,2.8,1013.3,1016.4,64.3,10.8,10020
2019,4,19,22,0,14.1,0,50,0.4,1013.9,1017,63.9,16.17,18660
2019,4,20,1,30,13.2,0,282.9,2.8,1014,1017.1,82.3,0.01,0
2019,4,21,10,30,14.8,0.1,345.2,1.6,1012,1015.1,86.4,1.23,0
2019,4,21,11,30,15.5,0.1,357,0.7,1011.7,1014.8,82.1,2.01,0
2019,4,22,2,30,9.7,0,9.2,1.5,1012.3,1015.4,97.2,0.01,0
2019,4,22,20,30,17.8,0,168.1,1.8,1012.3,1015.3,62.9,26.05,41700
2019,4,23,0,0,14.6,0,66.9,0.2,1013.1,1016.2,80.8,26.06,41700
2019,4,24,2,30,14.5,2.5,25.8,1.3,1005.8,1008.9,97.7,0,0
2019,4,25,10,0,14.3,0.3,0,0.1,1004.2,1007.3,93.3,1.51,0
2019,4,25,16,0,12.6,1.8,227.7,3,1004.6,1007.7,85.4,7.29,1800
2019,4,26,0,30,7.8,0,236.8,2.6,1006.5,1009.6,92.5,0,0
2019,4,26,1,30,7.4,0,212.1,1.7,1005.9,1009.1,93.5,0,0
2019,4,26,19,0,9,2,18.6,2.2,1012.2,1015.3,94,4.01,0
2019,4,27,9,30,12.5,0,59.1,0.9,1021,1024.1,56.5,5.6,11160
2019,4,27,14,0,16.2,0,329.6,3.7,1018.8,1021.9,41.7,23.25,27360
2019,4,27,15,30,16,0,329.2,3.8,1017.9,1021,41.1,27.13,30900
2019,4,28,3,30,8.6,0,0,0,1018.8,1022,91.6,0.01,0
2019,4,28,7,0,8.9,0.2,89.1,1.7,1019.6,1022.8,83.3,0.07,0
2019,4,28,12,0,14.3,0.2,109.3,2.3,1018.9,1022,48.5,4.8,0
2019,4,28,18,0,15.3,0.2,344.4,2.1,1015.7,1018.8,50.3,19.61,10860
2019,4,28,23,0,8,0.2,66.4,0.5,1016.6,1019.8,81.1,20.01,12360
