Year,Month,Day,Hour,Minute,WeatherTest_45min3,WeatherTest_45min4,WeatherTest_45min5,WeatherTest_45min6,WeatherTest_45min7,WeatherTest_45min8,WeatherTest_45min9,WeatherTest_45min10,WeatherTest_45min11,WeatherTest_45min12,WeatherTest_45min13,WeatherTest_45min14,WeatherTest_45min15,WeatherTest_45min16,WeatherTest_45min17,WeatherTest_45min18
2019,4,3,13,30,345.9,6.4,1021,1024.2,24.2,10.8,20340,10.1,0,336,4,1020.3,1023.5,24.6,14.56,25680
2019,4,3,20,30,286.8,1.4,1018.9,1022.1,37.9,21.26,39060,2.6,0,19.8,0.3,1019.8,1023.1,49.9,21.26,39060
2019,4,5,7,0,27.6,0.2,1021.7,1025,90.9,0.01,0,2.1,0,44.2,0.5,1022,1025.3,77.4,0.49,3120
2019,4,5,8,30,44.2,0.5,1022,1025.3,77.4,0.49,3120,7.3,0,255.2,2,1022.4,1025.6,66.6,2.62,8520
2019,4,5,10,0,255.2,2,1022.4,1025.6,66.6,2.62,8520,10.3,0,179.3,1.7,1022.6,1025.8,50.8,6.35,13920
2019,4,5,19,30,338.3,3.5,1019.6,1022.8,30.2,22.9,40860,5.3,0,349.2,2,1020.3,1023.5,42.2,22.91,40980
2019,4,6,4,30,0,0,1019.6,1022.9,97.2,0,0,-0.9,0,283.5,0.2,1018.8,1022.1,97,0.01,0
2019,4,7,0,0,353.6,3.9,1011.3,1014.5,88.3,24.58,40860,6.4,0,239,4.5,1010.5,1013.7,85.7,0,0
2019,4,7,4,30,330.8,3.4,1008.6,1011.8,89.8,0.01,0,8.3,0,263.8,5.6,1007.4,1010.5,90.9,0.01,0
2019,4,8,21,0,26.5,0.7,1007.1,1010.2,51.5,11.49,14460,10.7,0,32.5,1.3,1007.6,1010.7,37.9,11.49,14460
2019,4,9,3,0,77.6,2,1008.1,1011.2,44.9,0,0,10.2,0,358.4,1.1,1008,1011.1,50.2,0,0
2019,4,9,7,30,14.9,1.7,1008.5,1011.6,57,0.03,0,9.6,0,11.1,2.4,1009.3,1012.4,66,0.7,0
2019,4,10,8,0,31,1.7,1011.9,1015.1,51.5,0.2,1740,11.4,0,3.4,2.2,1013.2,1016.3,38,1.75,7140
2019,4,10,23,0,0,0,1015.3,1018.5,49.8,22.02,39720,5.3,0,25.4,1.1,1016.2,1019.4,55.6,22.02,39720
2019,4,11,2,0,0,0,1016.1,1019.3,62.8,0,0,6,0,359.5,0.4,1015.2,1018.4,60.1,0,0
2019,4,12,13,0,17.2,3.7,1009.7,1012.9,82.9,2.49,0,7.3,1.4,3.8,3.5,1009.5,1012.7,81.2,3.16,0
2019,4,13,15,30,344,4.4,1011.9,1015,46.6,13.22,17640,13.5,0,356.2,3.1,1011.7,1014.8,38.5,15.75,22020
2019,4,14,3,0,0,0,1013.6,1016.8,96.9,0,0,2.4,0,0,0,1014,1017.2,97.2,0,0
2019,4,15,19,0,339,3.4,1015.9,1019,24,23.81,35760,11,0,343.2,1.8,1016,1019.1,33.6,23.89,35760
2019,4,17,0,30,0,0.2,1015.6,1018.8,83.8,13.38,20340,1.5,0,0,0,1015.6,1018.9,93.7,0,0
2019,4,18,5,0,62.1,0.3,1016,1019.2,92.8,0.01,0,2.3,0,18.5,0.8,1015.7,1018.9,93.5,0.01,0
2019,4,18,6,30,18.5,0.8,1015.7,1018.9,93.5,0.01,0,5.9,0,0,0.1,1016.1,1019.3,83.7,0.3,2400
2019,4,18,11,0,229.6,1.1,1016,1019.1,19.9,5.76,13200,19.7,0,310.1,1,1015.1,1018.1,14.5,10.08,18600
2019,4,19,0,0,26.2,0.5,1013.4,1016.6,56.4,22.01,34860,7.8,0,19.1,1.3,1012.9,1016.1,66.5,0,0
