Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out,cond
2016,4,1,0,0,14,23,11,9,42,0
2016,4,1,3,0,12,32,9,7,59,0
2016,4,1,6,0,11,37,9,6,56,0
2016,4,1,9,0,11,35,9,18,30,0
2016,4,1,12,0,15,27,11,18,20,0
2016,4,1,15,0,18,21,14,17,23,0
2016,4,1,18,0,17,29,14,12,52,0
2016,4,1,21,0,15,36,12,11,55,0
2016,4,2,0,0,14,43,12,10,57,0
2016,4,2,3,0,12,44,9,10,54,0
2016,4,2,6,0,11,42,10,9,52,0
2016,4,2,9,0,12,45,10,17,37,0
2016,4,2,12,0,16,38,12,22,23,0
2016,4,2,15,0,18,34,13,17,42,0
2016,4,2,18,0,18,40,14,17,48,0
2016,4,2,21,0,16,51,13,12,70,0
2016,4,3,0,0,16,51,13,12,70,0
2016,4,3,3,0,14,65,11,10,81,0
2016,4,3,6,0,14,71,12,11,76,0
2016,4,3,9,0,14,71,12,11,76,0
2016,4,3,12,0,15,64,12,13,63,0
2016,4,3,15,0,15,66,13,12,69,0
2016,4,3,18,0,14,55,14,11,62,0
2016,4,3,21,0,14,58,12,11,63,0
2016,4,4,0,0,14,29,11,11,68,0
2016,4,4,3,0,12,31,10,10,74,0
2016,4,4,6,0,11,39,8,9,78,0
2016,4,4,9,0,12,43,10,18,42,0
2016,4,4,12,0,16,33,13,16,44,0
2016,4,4,15,0,16,31,13,14,42,0
2016,4,4,18,0,17,21,15,13,35,0
2016,4,4,21,0,16,18,15,11,35,0
2016,4,5,0,0,13,21,11,8,44,0
2016,4,5,3,0,12,30,10,6,47,0
2016,4,5,6,0,11,38,9,6,60,0
2016,4,5,9,0,11,38,10,19,27,0
2016,4,5,12,0,16,30,13,14,42,0
2016,4,5,15,0,17,30,14,14,44,0
2016,4,5,18,0,18,31,14,16,25,0
2016,4,5,21,0,17,41,14,13,28,0
2016,4,6,0,0,15,62,13,9,32,0
2016,4,6,3,0,14,75,12,8,40,0
2016,4,6,6,0,13,78,11,6,51,0
2016,4,6,9,0,13,81,11,11,45,0
2016,4,6,12,0,14,56,13,19,28,0
2016,4,6,15,0,15,46,15,20,26,0
2016,4,6,18,0,18,46,15,19,33,0
2016,4,6,21,0,17,54,14,14,62,0
2016,4,7,0,0,15,65,13,12,74,0
2016,4,7,3,0,14,67,12,11,80,0
2016,4,7,6,0,13,68,10,11,83,0
2016,4,7,9,0,12,68,9,11,80,0
2016,4,7,12,0,14,62,12,13,55,0
2016,4,7,15,0,17,54,15,16,40,0
2016,4,7,18,0,17,56,14,16,53,0
2016,4,7,21,0,17,62,14,12,69,0
2016,4,8,0,0,13,68,11,11,79,0
2016,4,8,3,0,12,70,11,9,81,0
2016,4,8,6,0,12,74,9,9,79,0
2016,4,8,9,0,13,80,10,9,75,1
2016,4,8,12,0,14,77,11,12,63,0
