Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out
2019,4,1,17,0,12.26,25.46,9.45,9.66,29.52
2019,4,2,16,0,12.72,26.19,8.95,10.89,21.49
2019,4,2,17,0,12.66,22.59,8.88,10.49,20.21
2019,4,3,11,0,11.71,44.02,8.84,20.47,23.41
2019,4,3,17,0,13.36,34.1,9.3,10.52,34.16
2019,4,3,19,0,12.17,31.44,10.02,8.11,38.4
2019,4,4,5,0,7.74,57.97,9.57,2.74,85.01
2019,4,5,1,30,10.52,57.11,9.91,7.77,76.89
2019,4,5,6,30,10.76,74.21,9.91,9.57,89.44
2019,4,7,0,30,13.36,39.1,11.74,11.5,46.61
2019,4,7,2,30,13.05,39.29,11.66,11.4,46.61
2019,4,7,13,30,16.93,34.37,12.24,17.72,25.03
2019,4,8,12,0,15.68,26.74,12.58,17.63,18.19
2019,4,8,13,30,16.47,22.34,12.92,15.16,21.76
2019,4,9,3,30,11.62,37.85,13.23,7.16,50.98
2019,4,9,8,30,12.99,36.29,12.5,11.4,36.97
2019,4,10,1,0,12.14,56.93,12.66,5.82,99.05
2019,4,10,2,0,11.95,59.37,12.66,6,97.8
2019,4,10,18,30,13.08,58.18,12.54,8.81,79.7
2019,4,10,20,30,12.23,59.71,12.43,8.02,85.81
2019,4,11,3,0,9.48,67.8,11.7,4.2,99.33
2019,4,11,9,30,11.86,63.89,12.08,14.61,56.11
2019,4,11,11,30,14.21,55.34,11.63,16.96,45.12
2019,4,11,20,30,13.21,49.91,12.39,9.3,65.17
2019,4,13,11,0,15.65,33.94,12.54,21.75,15.29
2019,4,14,8,30,13.02,35.53,13.34,10.73,42.77
2019,4,15,4,0,10.21,44.17,12.73,5.02,68.68
2019,4,16,19,30,17.3,27.59,14.3,13.88,35.35
2019,4,18,1,30,15.07,59.34,15.25,10.98,79.91
2019,4,18,12,0,17.39,56.78,15.78,17.11,58.39
2019,4,18,16,30,17.88,60.23,15.36,16.53,68.38
2019,4,19,21,0,17.45,53.08,15.67,14.76,60.01
2019,4,20,0,0,16.47,53.97,15.71,13.05,66.73
2019,4,21,1,0,15.98,70.05,16.28,13.05,97.13
2019,4,23,4,30,16.93,63,17.2,13.57,83.24
2019,4,23,9,30,19.07,60.9,16.97,24.38,44.69
2019,4,24,20,0,20.65,61.57,18.49,17.39,77.2
2019,4,25,0,0,18.15,67.46,18.46,14.61,92.34
2019,4,25,5,0,17.2,67.19,18.72,13.08,92.95
2019,4,25,14,0,18.7,72.95,18.11,16.01,99.21
2019,4,25,14,30,18.7,71.37,18.11,16.2,89.9
2019,4,26,22,0,14.58,56.35,15.82,10.31,77.26
2019,4,27,1,0,14.4,54.15,15.63,9.88,70.63
2019,4,28,5,30,14.15,55.31,15.36,10.24,72.37
2019,4,28,16,0,19.28,38.98,15.9,16.53,42.77
2019,4,29,15,30,16.99,53.88,15.98,15.16,70.39
2019,4,29,22,0,15.83,65.23,15.75,12.2,87.97
2019,4,30,0,0,14.85,66.79,15.56,10.43,96.37
2019,4,30,3,0,13.85,71.52,15.44,9.36,99.33
2019,5,1,3,0,14.58,51.71,15.71,10.73,67.03
2019,5,3,14,30,21.75,41.79,17.16,19.89,46.43
2019,5,4,1,30,16.35,59.13,17.43,12.78,78.17
2019,5,5,13,0,22.97,21.49,18.11,26.85,13.06
2019,5,6,3,0,17.75,39.16,18.46,13.02,52.26
2019,5,6,5,30,17.14,32.33,18.72,12.08,42.22
2019,5,6,6,0,16.96,31.53,18.07,12.5,40.26
2019,5,6,10,0,18.58,24.48,18.42,22.97,17.12
